symbol,date,open_price,high_price,low_price,close_price,volume
NVDA,2024-10-18,138.6650,138.9000,137.2800,138.0000,176090184
IBM,2024-10-18,231.9200,232.6499,230.1700,232.2000,4715688
AMD,2024-10-18,157.4100,158.0100,155.5600,155.9700,23822985
PFE,2024-10-18,29.3000,29.3650,29.0800,29.2200,24244872
AAPL,2024-10-18,236.1800,236.1800,234.0100,235.0000,46431472
IBM,2024-10-17,232.0000,233.1450,230.6550,232.8800,5040092
PFE,2024-10-17,29.4800,29.5300,29.2200,29.2700,23779153
NVDA,2024-10-17,139.3400,140.8900,136.8700,136.9300,306435921
AAPL,2024-10-17,233.4300,233.8500,230.5200,232.1500,32993810
AMD,2024-10-17,160.0000,160.4400,156.2000,156.2500,29491853
AMD,2024-10-16,158.0750,158.2800,154.9159,156.1300,30575773
PFE,2024-10-16,29.5000,29.8200,29.4300,29.6700,28414754
IBM,2024-10-16,232.1100,233.8800,231.1200,233.6700,2846669
AAPL,2024-10-16,231.6000,232.1200,229.8400,231.7800,34082240
NVDA,2024-10-16,133.9800,136.6200,131.5800,135.7200,264879720
AMD,2024-10-15,163.2100,164.1300,155.7400,156.6400,50768024
IBM,2024-10-15,236.4000,237.3700,232.7100,232.9600,3350556
AAPL,2024-10-15,233.6100,237.4900,232.3700,233.8500,64751367
PFE,2024-10-15,29.0900,29.7400,29.0700,29.4400,29009879
NVDA,2024-10-15,137.8700,138.5700,128.7400,131.6000,377831021
AAPL,2024-10-14,228.7000,231.7300,228.6000,231.3000,39882085
AMD,2024-10-14,167.7700,168.9000,165.1500,165.2700,31757205
IBM,2024-10-14,233.5700,236.1200,233.1700,235.2600,2524389
NVDA,2024-10-14,136.4700,139.6000,136.3000,138.0700,232347668
PFE,2024-10-14,29.1600,29.1700,28.8500,29.0800,23594180
PFE,2024-10-11,29.3600,29.4400,28.9500,29.1600,29617610
AAPL,2024-10-11,229.3000,229.4100,227.3400,227.5500,31759188
IBM,2024-10-11,233.2500,233.4400,230.4600,233.2600,3469322
AMD,2024-10-11,164.1850,169.3500,163.0101,167.8900,42136175
NVDA,2024-10-11,134.0100,135.7800,133.6600,134.8000,170209474
IBM,2024-10-10,235.1000,235.8300,231.8100,233.0200,3142031
PFE,2024-10-10,29.8900,30.0800,29.2800,29.3400,34347730
AAPL,2024-10-10,227.7800,229.5000,227.1700,229.0400,28183544
NVDA,2024-10-10,131.9100,135.0000,131.0000,134.8100,242311337
AMD,2024-10-10,169.7600,172.0100,162.0000,164.1800,75113590
IBM,2024-10-09,229.2000,234.9500,228.5000,234.3000,5083566
NVDA,2024-10-09,134.1100,134.5200,131.3800,132.6500,246191612
AMD,2024-10-09,174.0500,174.0500,169.5500,171.0200,33890735
AAPL,2024-10-09,225.2300,229.7500,224.8300,229.5400,33591091
PFE,2024-10-09,29.2200,30.4300,29.1000,30.1900,44244836
NVDA,2024-10-08,130.2600,133.4800,129.4200,132.8900,285722485
PFE,2024-10-08,29.2100,29.4900,29.0000,29.1800,29126564
IBM,2024-10-08,228.1100,229.3450,227.0401,228.6200,3245342
AAPL,2024-10-08,224.3000,225.9800,223.2500,225.7700,31855693
AMD,2024-10-08,171.7500,173.6000,170.0000,172.8000,34730152
NVDA,2024-10-07,124.9900,130.6400,124.9500,127.7200,346250233
IBM,2024-10-07,225.3800,227.6700,225.0200,227.1200,3457952
